"Actual","Predicted"
4,2.74188413196984
5,8.63657634244863
5,2.91876727222835
1,2.95130981683312
4,2.71192902890862
5,6.14397440631519
10,7.69708788689971
5,1.90123655563427
3,2.93991738574238
8,7.48561893866226
2,2.96106749925642
1,2.93991738574238
6,3.2329845116785
8,7.13971166302743
10,8.88245956164236
1,2.95130981683312
1,2.91876727222835
8,5.83694345863549
5,3.13351984154775
5,2.96106749925642
1,2.96106749925642
1,3.34827241086716
10,5.68130307123791
10,6.76279502947346
1,2.96106749925642
1,2.96106749925642
4,2.93991738574238
4,2.84577960006776
6,6.27677477316351
5,2.7304917008791
6,7.88167564429944
5,2.93991738574238
6,8.90524442382384
4,2.93991738574238
5,2.93991738574238
5,3.11236972803372
4,3.10301399089492
1,2.87497306513611
3,6.7483628254995
6,2.91876727222835
5,3.44832062076208
1,2.96106749925642
4,3.11236972803372
10,7.06850663141502
7,7.32924492346285
3,3.13351984154775
1,2.91876727222835
1,2.93991738574238
4,2.91876727222835
1,2.96106749925642
8,6.5933837467871
1,2.98569193278807
3,2.91876727222835
5,6.42960131876106
7,6.36021090972978
1,2.91876727222835
4,7.44305303617259
4,3.29661644670028
2,3.21183439816446
2,6.48283268124488
7,6.6539421157737
7,6.47129011819004
2,2.91876727222835
10,8.11038775383923
1,2.93991738574238
4,7.00223050811659
5,2.87469753464385
1,2.97245993034716
3,2.96106749925642
3,2.84577960006776
3,3.21852453825789
2,2.91876727222835
4,2.91876727222835
3,3.13555653549969
6,2.91876727222835
8,7.17693421530237
10,6.15138083579664
1,3.32712229735312
1,2.84735823240098
10,7.81597923521952
1,2.93991738574238
1,2.91876727222835
3,2.93991738574238
3,3.02988808516481
1,2.93991738574238
1,2.93991738574238
5,8.61199139556598
8,7.74020725680785
1,3.67964506892379
1,2.91876727222835
1,3.52072475315849
3,2.96106749925642
8,8.28592922091403
8,8.02959176836308
3,2.47227372286728
2,3.25471816495671
1,2.93991738574238
3,3.04039086508346
5,2.54998047891137
3,2.93991738574238
1,2.95130981683312
10,8.26579368105611
5,7.79534973497529
3,2.93991738574238
1,2.83117885804387
5,3.15730469078989
3,2.97245993034716
9,7.24680271962572
5,6.38369257560797
10,5.65680818105118
5,7.85674075564984
5,2.91876727222835
1,2.70072714241821
5,2.96106749925642
5,2.91876727222835
10,6.67380661379911
7,7.60994915613695
4,6.6966339851035
7,7.41287152300887
3,3.46521469289113
2,3.11236972803372
7,6.79056070300123
10,6.29420856969771
4,3.13351984154775
4,3.12416410440895
5,6.84885463377212
5,2.84564136649824
5,6.74783615789818
1,2.69823069348088
7,7.13652270802718
2,2.96106749925642
4,2.91876727222835
3,2.93991738574238
3,6.98401510589873
6,6.51462033656656
5,2.93991738574238
1,2.96106749925642
5,2.7304917008791
1,2.91876727222835
3,6.77044480191542
5,2.96106749925642
4,6.57041347188556
3,2.93991738574238
4,2.91876727222835
3,2.96106749925642
2,2.91876727222835
1,3.34827241086716
4,2.91876727222835
5,8.3203162381315
5,3.11236972803372
1,2.9936100438612
5,7.9670732701188
1,2.79366557428217
1,2.96106749925642
5,7.70087095691789
4,3.11769661248984
10,6.45156241990114
5,7.21444750583497
3,3.54187486667253
1,2.95130981683312
8,7.52347434753499
4,2.7304917008791
8,8.60230057751569
4,3.32712229735312
4,7.76046760394014
1,2.95130981683312
4,2.91876727222835
10,7.52611781622505
6,3.02980596792951
10,6.30368380411397
5,3.2138710921164
3,2.97245993034716
10,6.84850502002401
2,3.22340842373488
1,2.96106749925642
1,2.96106749925642
3,2.91876727222835
5,7.02680913489204
1,2.87832214467254
1,2.93991738574238
10,6.28190087239902
5,4.25527298858833
7,6.58840415746755
5,3.32712229735312
1,2.93991738574238
2,3.37168325335206
8,7.70594784630033
5,3.62158211462822
1,2.84564136649824
1,2.91876727222835
5,2.57290357466237
5,2.94059431046197
1,2.91876727222835
10,7.28631745932076
5,2.86679148001228
2,2.96106749925642
4,3.1633505428904
3,2.96106749925642
8,8.19127220853862
1,2.91876727222835
3,2.91876727222835
10,8.50295861283238
1,2.83146039525043
3,3.16672780548773
1,2.9936100438612
4,3.13351984154775
10,6.42319675333631
3,2.91876727222835
9,8.223110910127
2,2.93991738574238
3,3.13351984154775
10,8.22794527878739
